observation_date,boc_rate,cpi,unemployment_rate,rgdp_growth,,
2016-01-01,0.75%,127.5,7.7%,0.6%,,
2016-02-01,0.75%,127.3,7.7%,-0.29%,,
2016-03-01,0.75%,127.7,7.8%,-0.37%,,
2016-04-01,0.75%,127.9,7.7%,0.23%,,
2016-05-01,0.75%,128.3,7.0%,-0.56%,,
2016-06-01,0.75%,128.6,6.6%,0.48%,,
2016-07-01,0.75%,128.5,7.3%,0.59%,,
2016-08-01,0.75%,128.6,7.6%,0.23%,,
2016-09-01,0.75%,128.8,6.4%,0.26%,,
2016-10-01,0.75%,129.1,6.3%,-0.05%,,
2016-11-01,0.75%,128.9,6.3%,0.38%,,
2016-12-01,0.75%,129.3,6.4%,0.28%,,
2017-01-01,0.75%,130.1,7.3%,0.47%,,
2017-02-01,0.75%,129.9,7.0%,0.36%,,
2017-03-01,0.75%,129.7,7.2%,0.44%,,
2017-04-01,0.75%,130.1,6.8%,0.49%,,
2017-05-01,0.75%,129.9,6.6%,0.22%,,
2017-06-01,0.75%,129.9,6.1%,0.24%,,
2017-07-01,1.00%,130.1,6.6%,-0.04%,,
2017-08-01,1.00%,130.4,6.9%,-0.10%,,
2017-09-01,1.25%,130.7,5.7%,0.26%,,
2017-10-01,1.25%,130.9,5.8%,0.01%,,
2017-11-01,1.25%,131.7,5.6%,0.47%,,
2017-12-01,1.25%,131.8,5.6%,0.27%,,
2018-01-01,1.50%,132.3,6.3%,0.32%,,
2018-02-01,1.50%,132.6,6.3%,0.53%,,
2018-03-01,1.50%,132.7,6.3%,0.42%,,
2018-04-01,1.50%,132.8,6.0%,0.02%,,
2018-05-01,1.50%,132.9,5.9%,0.36%,,
2018-06-01,1.50%,133.1,5.7%,0.12%,,
2018-07-01,1.75%,133.7,6.0%,0.21%,,
2018-08-01,1.75%,133.9,6.7%,0.08%,,
2018-09-01,1.75%,133.8,5.4%,0.17%,,
2018-10-01,2.00%,134.2,5.2%,0.17%,,
2018-11-01,2.00%,134,5.2%,-0.18%,,
2018-12-01,2.00%,134.3,5.1%,0.16%,,
2019-01-01,2.00%,134.3,6.1%,0.23%,,
2019-02-01,2.00%,134.7,6.1%,-0.27%,,
2019-03-01,2.00%,135.2,6.3%,0.57%,,
2019-04-01,2.00%,135.6,5.9%,0.62%,,
2019-05-01,2.00%,136,5.5%,0.28%,,
2019-06-01,2.00%,135.9,5.3%,0.19%,,
2019-07-01,2.00%,136.4,6.0%,0.04%,,
2019-08-01,2.00%,136.4,6.3%,0.01%,,
2019-09-01,2.00%,136.3,5.1%,0.05%,,
2019-10-01,2.00%,136.7,5.0%,0.06%,,
2019-11-01,2.00%,136.8,5.4%,-0.02%,,
2019-12-01,2.00%,137.3,5.2%,0.51%,,
2020-01-01,2.00%,137.5,5.9%,0.10%,,
2020-02-01,2.00%,137.7,6.0%,0.21%,,
2020-03-01,1.00%,136.3,8.9%,-7.54%,,
2020-04-01,0.50%,135.6,14.0%,-10.67%,,
2020-05-01,0.50%,135.4,14.3%,4.57%,,
2020-06-01,0.50%,136.5,11.9%,5.92%,,
2020-07-01,0.50%,136.5,11.4%,2.60%,,
2020-08-01,0.50%,136.8,11.1%,1.00%,,
